"severity","issueId","issueDescription","wcagConformance","url","context","howToFix","axeImpact","xpath","learnMore"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/all-plan-documents-2023","<a href=""https://devoted.com/plan-documents/benefit-and-coverage-details/H3080-003-000-2023"" target=""_blank"" rel=""noopener noreferrer"">Devoted DUAL Alabama - 1 (HMO D-SNP)</a>","Element's background color could not be determined because it partially overlaps other elements","serious",".pageSection-module--wrapper--c1860.undefined:nth-child(4) > .gridTwoCol-module--wrapper--ea3c9 > .gridTwoCol-module--split--93623.gridTwoCol-module--content--12f90.gridTwoCol-module--noBorder--dd2c3 > .row > .right > div > p:nth-child(3) > .secondary-button > a[target=""_blank""][rel=""noopener noreferrer""]","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/all-plan-documents-2023","<a href=""https://devoted.com/plan-documents/benefit-and-coverage-details/H3080-004-000-2023"" target=""_blank"" rel=""noopener noreferrer"">Devoted DUAL Alabama - 2 (HMO D-SNP)</a>","Element's background color could not be determined because it partially overlaps other elements","serious",".pageSection-module--wrapper--c1860.undefined:nth-child(4) > .gridTwoCol-module--wrapper--ea3c9 > .gridTwoCol-module--split--93623.gridTwoCol-module--content--12f90.gridTwoCol-module--noBorder--dd2c3 > .row > .right > div > p:nth-child(4) > .secondary-button > a[target=""_blank""][rel=""noopener noreferrer""]","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/all-plan-documents-2023","<a href=""https://devoted.com/plan-documents/benefit-and-coverage-details/H3080-003-000-2023"" target=""_blank"" rel=""noopener noreferrer"">Devoted DUAL Alabama - 1 (HMO D-SNP)</a>","Element's background color could not be determined because it partially overlaps other elements","serious",".pageSection-module--wrapper--c1860.undefined:nth-child(5) > .gridTwoCol-module--wrapper--ea3c9 > .gridTwoCol-module--split--93623.gridTwoCol-module--content--12f90.gridTwoCol-module--noBorder--dd2c3 > .row > .right > div > p:nth-child(3) > .secondary-button > a[target=""_blank""][rel=""noopener noreferrer""]","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/all-plan-documents-2023","<a href=""https://devoted.com/plan-documents/benefit-and-coverage-details/H3080-004-000-2023"" target=""_blank"" rel=""noopener noreferrer"">Devoted DUAL Alabama - 2 (HMO D-SNP)</a>","Element's background color could not be determined because it partially overlaps other elements","serious",".pageSection-module--wrapper--c1860.undefined:nth-child(5) > .gridTwoCol-module--wrapper--ea3c9 > .gridTwoCol-module--split--93623.gridTwoCol-module--content--12f90.gridTwoCol-module--noBorder--dd2c3 > .row > .right > div > p:nth-child(4) > .secondary-button > a[target=""_blank""][rel=""noopener noreferrer""]","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/all-plan-documents-2023","<a href=""https://devoted.com/plan-documents/benefit-and-coverage-details/H3080-006-000-2023"" target=""_blank"" rel=""noopener noreferrer"">Devoted DUAL Alabama - 1 (HMO D-SNP)</a>","Element's background color could not be determined because it partially overlaps other elements","serious",".pageSection-module--wrapper--c1860.undefined:nth-child(6) > .gridTwoCol-module--wrapper--ea3c9 > .gridTwoCol-module--split--93623.gridTwoCol-module--content--12f90.gridTwoCol-module--noBorder--dd2c3 > .row > .right > div > p:nth-child(2) > .secondary-button > a[target=""_blank""][rel=""noopener noreferrer""]","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/all-plan-documents-2023","<a href=""https://devoted.com/plan-documents/benefit-and-coverage-details/H3080-007-000-2023"" target=""_blank"" rel=""noopener noreferrer"">Devoted DUAL Alabama - 2 (HMO D-SNP)</a>","Element's background color could not be determined because it partially overlaps other elements","serious",".pageSection-module--wrapper--c1860.undefined:nth-child(6) > .gridTwoCol-module--wrapper--ea3c9 > .gridTwoCol-module--split--93623.gridTwoCol-module--content--12f90.gridTwoCol-module--noBorder--dd2c3 > .row > .right > div > p:nth-child(3) > .secondary-button > a[target=""_blank""][rel=""noopener noreferrer""]","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/all-plan-documents-2023","<a href=""https://devoted.com/plan-documents/benefit-and-coverage-details/H8173-015-000-2023"" target=""_blank"" rel=""noopener noreferrer"">Devoted BEWELL PLUS Arizona (HMO C-SNP)</a>","Element's background color could not be determined because it partially overlaps other elements","serious",".pageSection-module--wrapper--c1860.undefined:nth-child(8) > .gridTwoCol-module--wrapper--ea3c9 > .gridTwoCol-module--split--93623.gridTwoCol-module--content--12f90.gridTwoCol-module--noBorder--dd2c3 > .row > .right > div > p:nth-child(4) > .secondary-button > a[target=""_blank""][rel=""noopener noreferrer""]","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/all-plan-documents-2023","<a href=""https://devoted.com/plan-documents/benefit-and-coverage-details/H8173-011-000-2023"" target=""_blank"" rel=""noopener noreferrer"">Devoted BEWELL Arizona (HMO C-SNP)</a>","Element's background color could not be determined because it partially overlaps other elements","serious",".pageSection-module--wrapper--c1860.undefined:nth-child(9) > .gridTwoCol-module--wrapper--ea3c9 > .gridTwoCol-module--split--93623.gridTwoCol-module--content--12f90.gridTwoCol-module--noBorder--dd2c3 > .row > .right > div > p:nth-child(5) > .secondary-button > a[target=""_blank""][rel=""noopener noreferrer""]","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/all-plan-documents-2023","<a href=""https://devoted.com/plan-documents/benefit-and-coverage-details/H8173-014-000-2023"" target=""_blank"" rel=""noopener noreferrer"">Devoted BEWELL PLUS Arizona (HMO C-SNP)</a>","Element's background color could not be determined because it partially overlaps other elements","serious","p:nth-child(6) > .secondary-button > a[target=""_blank""][rel=""noopener noreferrer""]","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/all-plan-documents-2023","<a href=""https://devoted.com/plan-documents/benefit-and-coverage-details/H7147-003-000-2023"" target=""_blank"" rel=""noopener noreferrer"">Devoted DUAL Colorado - 1 (HMO D-SNP)</a>","Element's background color could not be determined because it partially overlaps other elements","serious",".pageSection-module--wrapper--c1860.undefined:nth-child(12) > .gridTwoCol-module--wrapper--ea3c9 > .gridTwoCol-module--split--93623.gridTwoCol-module--content--12f90.gridTwoCol-module--noBorder--dd2c3 > .row > .right > div > p:nth-child(2) > .secondary-button > a[target=""_blank""][rel=""noopener noreferrer""]","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/all-plan-documents-2023","<a href=""https://devoted.com/plan-documents/benefit-and-coverage-details/H7147-003-000-2023"" target=""_blank"" rel=""noopener noreferrer"">Devoted DUAL Colorado - 1 (HMO D-SNP)</a>","Element's background color could not be determined because it partially overlaps other elements","serious",".pageSection-module--wrapper--c1860.undefined:nth-child(13) > .gridTwoCol-module--wrapper--ea3c9 > .gridTwoCol-module--split--93623.gridTwoCol-module--content--12f90.gridTwoCol-module--noBorder--dd2c3 > .row > .right > div > p:nth-child(3) > .secondary-button > a[target=""_blank""][rel=""noopener noreferrer""]","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/all-plan-documents-2023","<a href=""https://devoted.com/plan-documents/benefit-and-coverage-details/H1290-039-000-2023"" target=""undefined"" rel=""noopener noreferrer"">Devoted DUAL East Coast Florida (HMO D-SNP)</a>","Element's background color could not be determined because it partially overlaps other elements","serious",".pageSection-module--wrapper--c1860.undefined:nth-child(17) > .gridTwoCol-module--wrapper--ea3c9 > .gridTwoCol-module--split--93623.gridTwoCol-module--content--12f90.gridTwoCol-module--noBorder--dd2c3 > .row > .right > div > p:nth-child(1) > .secondary-button > a[target=""undefined""][rel=""noopener noreferrer""]","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/all-plan-documents-2023","<a href=""https://devoted.com/plan-documents/benefit-and-coverage-details/H1290-045-000-2023"" target=""undefined"" rel=""noopener noreferrer"">Devoted ESSENTIALS East Coast Florida (HMO)</a>","Element's background color could not be determined because it partially overlaps other elements","serious",".pageSection-module--wrapper--c1860.undefined:nth-child(17) > .gridTwoCol-module--wrapper--ea3c9 > .gridTwoCol-module--split--93623.gridTwoCol-module--content--12f90.gridTwoCol-module--noBorder--dd2c3 > .row > .right > div > p:nth-child(2) > .secondary-button > a[target=""undefined""][rel=""noopener noreferrer""]","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/all-plan-documents-2023","<a href=""https://devoted.com/plan-documents/benefit-and-coverage-details/H1290-046-000-2023"" target=""undefined"" rel=""noopener noreferrer"">Devoted CORE East Coast Florida (HMO)</a>","Element's background color could not be determined because it partially overlaps other elements","serious",".pageSection-module--wrapper--c1860.undefined:nth-child(17) > .gridTwoCol-module--wrapper--ea3c9 > .gridTwoCol-module--split--93623.gridTwoCol-module--content--12f90.gridTwoCol-module--noBorder--dd2c3 > .row > .right > div > p:nth-child(3) > .secondary-button > a[target=""undefined""][rel=""noopener noreferrer""]","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/all-plan-documents-2023","<a href=""https://devoted.com/plan-documents/benefit-and-coverage-details/H9884-008-000-2023"" target=""undefined"" rel=""noopener noreferrer"">Devoted CHOICE East Coast Florida (PPO)</a>","Element's background color could not be determined because it partially overlaps other elements","serious",".pageSection-module--wrapper--c1860.undefined:nth-child(17) > .gridTwoCol-module--wrapper--ea3c9 > .gridTwoCol-module--split--93623.gridTwoCol-module--content--12f90.gridTwoCol-module--noBorder--dd2c3 > .row > .right > div > p:nth-child(4) > .secondary-button > a[target=""undefined""][rel=""noopener noreferrer""]","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/all-plan-documents-2023","<a href=""https://devoted.com/plan-documents/benefit-and-coverage-details/H1290-023-000-2023"" target=""undefined"" rel=""noopener noreferrer"">Devoted DUAL Jacksonville (HMO D-SNP)</a>","Element's background color could not be determined because it partially overlaps other elements","serious",".pageSection-module--wrapper--c1860.undefined:nth-child(18) > .gridTwoCol-module--wrapper--ea3c9 > .gridTwoCol-module--split--93623.gridTwoCol-module--content--12f90.gridTwoCol-module--noBorder--dd2c3 > .row > .right > div > p:nth-child(1) > .secondary-button > a[target=""undefined""][rel=""noopener noreferrer""]","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/all-plan-documents-2023","<a href=""https://devoted.com/plan-documents/benefit-and-coverage-details/H1290-031-000-2023"" target=""undefined"" rel=""noopener noreferrer"">Devoted ESSENTIALS Jacksonville (HMO)</a>","Element's background color could not be determined because it partially overlaps other elements","serious",".pageSection-module--wrapper--c1860.undefined:nth-child(18) > .gridTwoCol-module--wrapper--ea3c9 > .gridTwoCol-module--split--93623.gridTwoCol-module--content--12f90.gridTwoCol-module--noBorder--dd2c3 > .row > .right > div > p:nth-child(3) > .secondary-button > a[target=""undefined""][rel=""noopener noreferrer""]","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/all-plan-documents-2023","<a href=""https://devoted.com/plan-documents/benefit-and-coverage-details/H9884-005-000-2023"" target=""undefined"" rel=""noopener noreferrer"">Devoted CHOICE GIVEBACK Tampa (PPO)</a>","Element's background color could not be determined because it partially overlaps other elements","serious",".pageSection-module--wrapper--c1860.undefined:nth-child(20) > .gridTwoCol-module--wrapper--ea3c9 > .gridTwoCol-module--split--93623.gridTwoCol-module--content--12f90.gridTwoCol-module--noBorder--dd2c3 > .row > .right > div > p:nth-child(5) > .secondary-button > a[target=""undefined""][rel=""noopener noreferrer""]","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/all-plan-documents-2023","<a href=""https://devoted.com/plan-documents/benefit-and-coverage-details/H9884-005-000-2023"" target=""undefined"" rel=""noopener noreferrer"">Devoted CHOICE GIVEBACK Tampa (PPO)</a>","Element's background color could not be determined because it partially overlaps other elements","serious",".pageSection-module--wrapper--c1860.undefined:nth-child(22) > .gridTwoCol-module--wrapper--ea3c9 > .gridTwoCol-module--split--93623.gridTwoCol-module--content--12f90.gridTwoCol-module--noBorder--dd2c3 > .row > .right > div > p:nth-child(5) > .secondary-button > a[target=""undefined""][rel=""noopener noreferrer""]","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/all-plan-documents-2023","<a href=""https://devoted.com/plan-documents/benefit-and-coverage-details/H1290-013-000-2023"" target=""undefined"" rel=""noopener noreferrer"">Devoted ESSENTIALS Miami-Dade (HMO)</a>","Element's background color could not be determined because it partially overlaps other elements","serious",".pageSection-module--wrapper--c1860.undefined:nth-child(23) > .gridTwoCol-module--wrapper--ea3c9 > .gridTwoCol-module--split--93623.gridTwoCol-module--content--12f90.gridTwoCol-module--noBorder--dd2c3 > .row > .right > div > p:nth-child(2) > .secondary-button > a[target=""undefined""][rel=""noopener noreferrer""]","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/all-plan-documents-2023","<a href=""https://devoted.com/plan-documents/benefit-and-coverage-details/H1290-019-000-2023"" target=""undefined"" rel=""noopener noreferrer"">Devoted DUAL Miami-Dade (HMO D-SNP)</a>","Element's background color could not be determined because it partially overlaps other elements","serious",".pageSection-module--wrapper--c1860.undefined:nth-child(23) > .gridTwoCol-module--wrapper--ea3c9 > .gridTwoCol-module--split--93623.gridTwoCol-module--content--12f90.gridTwoCol-module--noBorder--dd2c3 > .row > .right > div > p:nth-child(3) > .secondary-button > a[target=""undefined""][rel=""noopener noreferrer""]","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/all-plan-documents-2023","<a href=""https://devoted.com/plan-documents/benefit-and-coverage-details/H1290-033-000-2023"" target=""undefined"" rel=""noopener noreferrer"">Devoted DUAL North Florida (HMO D-SNP)</a>","Element's background color could not be determined because it partially overlaps other elements","serious",".pageSection-module--wrapper--c1860.undefined:nth-child(24) > .gridTwoCol-module--wrapper--ea3c9 > .gridTwoCol-module--split--93623.gridTwoCol-module--content--12f90.gridTwoCol-module--noBorder--dd2c3 > .row > .right > div > p:nth-child(2) > .secondary-button > a[target=""undefined""][rel=""noopener noreferrer""]","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/all-plan-documents-2023","<a href=""https://devoted.com/plan-documents/benefit-and-coverage-details/H1290-035-000-2023"" target=""undefined"" rel=""noopener noreferrer"">Devoted ESSENTIALS North Florida (HMO)</a>","Element's background color could not be determined because it partially overlaps other elements","serious",".pageSection-module--wrapper--c1860.undefined:nth-child(24) > .gridTwoCol-module--wrapper--ea3c9 > .gridTwoCol-module--split--93623.gridTwoCol-module--content--12f90.gridTwoCol-module--noBorder--dd2c3 > .row > .right > div > p:nth-child(3) > .secondary-button > a[target=""undefined""][rel=""noopener noreferrer""]","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/all-plan-documents-2023","<a href=""https://devoted.com/plan-documents/benefit-and-coverage-details/H1290-042-000-2023"" target=""undefined"" rel=""noopener noreferrer"">Devoted DUAL Northwest Florida - 1 (HMO D-SNP)</a>","Element's background color could not be determined because it partially overlaps other elements","serious",".pageSection-module--wrapper--c1860.undefined:nth-child(25) > .gridTwoCol-module--wrapper--ea3c9 > .gridTwoCol-module--split--93623.gridTwoCol-module--content--12f90.gridTwoCol-module--noBorder--dd2c3 > .row > .right > div > p:nth-child(1) > .secondary-button > a[target=""undefined""][rel=""noopener noreferrer""]","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/all-plan-documents-2023","<a href=""https://devoted.com/plan-documents/benefit-and-coverage-details/H1290-043-000-2023"" target=""undefined"" rel=""noopener noreferrer"">Devoted DUAL Northwest Florida - 2 (HMO D-SNP)</a>","Element's background color could not be determined because it partially overlaps other elements","serious",".pageSection-module--wrapper--c1860.undefined:nth-child(25) > .gridTwoCol-module--wrapper--ea3c9 > .gridTwoCol-module--split--93623.gridTwoCol-module--content--12f90.gridTwoCol-module--noBorder--dd2c3 > .row > .right > div > p:nth-child(2) > .secondary-button > a[target=""undefined""][rel=""noopener noreferrer""]","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
"needsReview","color-contrast","Elements must meet minimum color contrast ratio thresholds","wcag143","https://devoted.com/all-plan-documents-2023","<a href=""https://devoted.com/plan-documents/benefit-and-coverage-details/H9884-011-000-2023"" target=""undefined"" rel=""noopener noreferrer"">Devoted CHOICE Northwest Florida (PPO)</a>","Element's background color could not be determined because it partially overlaps other elements","serious",".pageSection-module--wrapper--c1860.undefined:nth-child(25) > .gridTwoCol-module--wrapper--ea3c9 > .gridTwoCol-module--split--93623.gridTwoCol-module--content--12f90.gridTwoCol-module--noBorder--dd2c3 > .row > .right > div > p:nth-child(3) > .secondary-button > a[target=""undefined""][rel=""noopener noreferrer""]","https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=purple-a11y"
